Data Time,Data Value
01-06-2024 00:00,438.47
01-06-2024 00:45,438.46
01-06-2024 01:15,438.46
01-06-2024 01:45,438.46
01-06-2024 02:30,438.46
01-06-2024 04:30,438.48
01-06-2024 05:15,438.47
01-06-2024 06:00,438.47
01-06-2024 06:45,438.45
01-06-2024 08:45,438.45
01-06-2024 09:30,438.44
01-06-2024 11:00,438.44
01-06-2024 11:30,438.44
01-06-2024 11:45,438.44
01-06-2024 12:45,438.44
01-06-2024 13:15,438.44
01-06-2024 14:45,438.44
01-06-2024 16:15,438.46
01-06-2024 16:45,438.45
01-06-2024 19:00,438.45
01-06-2024 20:00,438.43
01-06-2024 20:15,438.42
01-06-2024 21:00,438.42
01-06-2024 22:00,438.42
01-06-2024 22:15,438.43
01-06-2024 22:30,438.43
01-06-2024 23:15,438.42
02-06-2024 01:30,438.43
02-06-2024 02:45,438.42
02-06-2024 03:15,438.41
02-06-2024 04:00,438.4
02-06-2024 04:30,438.4
02-06-2024 05:15,438.41
02-06-2024 06:00,438.42
02-06-2024 06:30,438.41
02-06-2024 07:15,438.41
02-06-2024 08:15,438.4
02-06-2024 09:00,438.39
02-06-2024 09:45,438.39
02-06-2024 10:15,438.39
02-06-2024 12:00,438.39
02-06-2024 13:00,438.38
02-06-2024 13:30,438.38
02-06-2024 14:30,438.39
02-06-2024 16:15,438.38
02-06-2024 18:15,438.39
02-06-2024 19:00,438.38
02-06-2024 19:45,438.36
02-06-2024 20:15,438.36
02-06-2024 21:00,438.37
02-06-2024 22:15,438.37
02-06-2024 23:00,438.36
02-06-2024 23:45,438.37
03-06-2024 00:15,438.36
03-06-2024 01:30,438.35
03-06-2024 02:15,438.35
03-06-2024 02:45,438.34
03-06-2024 03:15,438.36
03-06-2024 03:45,438.36
03-06-2024 04:45,438.35
03-06-2024 05:15,438.33
03-06-2024 06:45,438.31
03-06-2024 07:00,438.32
03-06-2024 07:15,438.31
03-06-2024 07:30,438.31
03-06-2024 08:00,438.31
03-06-2024 08:45,438.32
03-06-2024 09:00,438.32
03-06-2024 09:15,438.33
03-06-2024 09:45,438.33
03-06-2024 10:30,438.33
03-06-2024 11:45,438.34
03-06-2024 12:30,438.35
03-06-2024 13:00,438.34
03-06-2024 13:30,438.33
03-06-2024 14:00,438.33
03-06-2024 14:45,438.34
03-06-2024 15:15,438.34
03-06-2024 16:15,438.34
03-06-2024 17:00,438.33
03-06-2024 17:45,438.33
03-06-2024 19:00,438.32
03-06-2024 19:15,438.32
03-06-2024 20:15,438.32
03-06-2024 20:30,438.32
03-06-2024 21:00,438.32
03-06-2024 21:15,438.32
03-06-2024 22:30,438.29
03-06-2024 22:45,438.3
03-06-2024 23:45,438.3
04-06-2024 00:15,438.3
04-06-2024 00:45,438.28
04-06-2024 03:00,438.29
04-06-2024 04:30,438.29
04-06-2024 05:30,438.29
04-06-2024 06:15,438.29
04-06-2024 07:30,438.28
04-06-2024 07:45,438.27
04-06-2024 08:15,438.28
04-06-2024 09:30,438.27
04-06-2024 09:45,438.28
04-06-2024 10:30,438.28
04-06-2024 10:45,438.28
04-06-2024 11:30,438.27
04-06-2024 12:30,438.27
04-06-2024 13:00,438.27
04-06-2024 13:30,438.28
04-06-2024 14:15,438.27
04-06-2024 15:15,438.27
04-06-2024 15:45,438.24
04-06-2024 16:00,438.26
04-06-2024 16:30,438.24
04-06-2024 18:45,438.23
04-06-2024 19:45,438.24
04-06-2024 20:15,438.22
04-06-2024 20:45,438.23
04-06-2024 21:15,438.22
04-06-2024 23:30,438.24
05-06-2024 00:00,438.22
05-06-2024 00:30,438.24
05-06-2024 01:15,438.24
05-06-2024 01:45,438.24
05-06-2024 03:15,438.23
05-06-2024 05:15,438.23
05-06-2024 05:45,438.22
05-06-2024 06:45,438.21
05-06-2024 07:45,438.22
05-06-2024 09:45,438.21
05-06-2024 11:00,438.21
05-06-2024 11:30,438.21
05-06-2024 12:00,438.21
05-06-2024 13:00,438.21
05-06-2024 13:30,438.21
05-06-2024 14:00,438.22
05-06-2024 14:15,438.22
05-06-2024 14:45,438.21
05-06-2024 15:00,438.22
05-06-2024 15:15,438.22
05-06-2024 16:00,438.22
05-06-2024 16:15,438.2
05-06-2024 16:30,438.17
05-06-2024 16:45,438.21
05-06-2024 17:00,438.21
05-06-2024 17:30,438.21
05-06-2024 18:45,438.23
05-06-2024 19:15,438.23
05-06-2024 20:45,438.23
05-06-2024 21:15,438.24
05-06-2024 21:45,438.25
05-06-2024 22:15,438.23
05-06-2024 23:30,438.23
06-06-2024 00:15,438.25
06-06-2024 00:30,438.25
06-06-2024 00:45,438.25
06-06-2024 01:30,438.25
06-06-2024 02:30,438.24
06-06-2024 04:15,438.24
06-06-2024 04:45,438.25
06-06-2024 05:30,438.24
06-06-2024 07:00,438.24
06-06-2024 07:45,438.24
06-06-2024 08:15,438.24
06-06-2024 09:15,438.22
06-06-2024 10:45,438.22
06-06-2024 12:30,438.23
06-06-2024 13:00,438.23
06-06-2024 13:30,438.23
06-06-2024 14:00,438.22
06-06-2024 17:00,438.2
06-06-2024 17:15,438.18
06-06-2024 17:30,438.19
06-06-2024 18:30,438.23
06-06-2024 19:30,438.21
06-06-2024 20:15,438.22
06-06-2024 20:45,438.19
06-06-2024 21:15,438.26
06-06-2024 22:45,438.3
06-06-2024 23:15,438.29
07-06-2024 00:30,438.34
07-06-2024 00:45,438.33
07-06-2024 01:30,438.35
07-06-2024 02:00,438.35
07-06-2024 02:30,438.36
07-06-2024 03:30,438.38
07-06-2024 04:00,438.38
07-06-2024 04:30,438.39
07-06-2024 05:00,438.4
07-06-2024 05:15,438.4
07-06-2024 06:15,438.42
07-06-2024 07:30,438.43
07-06-2024 08:45,438.43
07-06-2024 09:00,438.44
07-06-2024 09:15,435.82
07-06-2024 10:00,438.43
07-06-2024 10:30,438.43
07-06-2024 11:15,438.43
07-06-2024 12:30,438.45
07-06-2024 14:00,438.46
07-06-2024 14:45,438.48
07-06-2024 15:15,438.45
07-06-2024 16:00,438.47
07-06-2024 18:00,438.47
07-06-2024 19:00,438.41
07-06-2024 19:15,438.41
07-06-2024 19:45,438.43
07-06-2024 20:15,438.45
07-06-2024 20:30,438.46
07-06-2024 21:15,438.43
07-06-2024 22:45,438.46
07-06-2024 23:15,438.46
08-06-2024 00:15,438.46
08-06-2024 01:30,438.47
08-06-2024 02:30,438.47
08-06-2024 03:15,438.47
08-06-2024 04:00,438.47
08-06-2024 06:15,438.47
08-06-2024 07:45,438.46
08-06-2024 08:15,438.46
08-06-2024 08:45,438.45
08-06-2024 10:00,438.46
08-06-2024 11:15,438.46
08-06-2024 12:00,438.47
08-06-2024 13:00,438.47
08-06-2024 14:30,438.46
08-06-2024 15:00,438.48
08-06-2024 15:15,438.46
08-06-2024 16:00,438.46
08-06-2024 18:00,435.84
08-06-2024 18:15,438.48
08-06-2024 18:45,438.48
08-06-2024 19:15,438.47
08-06-2024 19:45,438.46
08-06-2024 20:15,438.48
08-06-2024 20:45,438.5
08-06-2024 22:00,438.53
08-06-2024 23:30,438.57
09-06-2024 00:00,438.57
09-06-2024 00:30,438.59
09-06-2024 00:45,438.59
09-06-2024 01:45,438.61
09-06-2024 02:30,438.62
09-06-2024 02:45,438.63
09-06-2024 03:00,438.63
09-06-2024 03:30,438.63
09-06-2024 04:15,438.64
09-06-2024 04:45,438.64
09-06-2024 05:15,438.66
09-06-2024 06:00,438.66
09-06-2024 06:15,438.66
09-06-2024 06:30,438.65
09-06-2024 07:00,438.66
09-06-2024 07:30,438.66
09-06-2024 08:15,438.67
09-06-2024 09:15,438.69
09-06-2024 10:30,438.71
09-06-2024 11:15,438.69
09-06-2024 13:00,438.7
09-06-2024 14:15,438.7
09-06-2024 15:00,438.69
09-06-2024 15:30,438.7
09-06-2024 15:45,438.7
09-06-2024 16:15,438.7
09-06-2024 16:45,438.71
09-06-2024 18:15,438.7
09-06-2024 19:30,438.72
09-06-2024 19:45,438.71
09-06-2024 21:15,438.73
09-06-2024 22:15,438.73
09-06-2024 23:00,438.74
10-06-2024 00:00,438.75
10-06-2024 01:00,438.75
10-06-2024 01:45,438.74
10-06-2024 02:15,438.74
10-06-2024 02:45,438.74
10-06-2024 03:15,438.74
10-06-2024 03:45,438.75
10-06-2024 05:00,438.75
10-06-2024 05:45,438.75
10-06-2024 06:15,438.74
10-06-2024 07:00,438.75
10-06-2024 08:00,438.75
10-06-2024 08:45,438.75
10-06-2024 09:45,438.76
10-06-2024 10:15,438.76
10-06-2024 10:45,438.76
10-06-2024 12:30,438.75
10-06-2024 13:15,438.75
10-06-2024 13:45,438.74
10-06-2024 14:15,438.73
10-06-2024 14:45,438.73
10-06-2024 16:00,438.73
10-06-2024 16:15,438.73
10-06-2024 16:45,438.74
10-06-2024 17:00,438.73
10-06-2024 17:30,438.74
10-06-2024 18:00,438.75
10-06-2024 18:15,438.76
10-06-2024 19:00,438.73
10-06-2024 19:30,438.73
10-06-2024 20:00,438.73
10-06-2024 20:15,438.73
10-06-2024 21:00,438.73
10-06-2024 21:45,438.73
10-06-2024 22:45,438.73
10-06-2024 23:15,438.74
11-06-2024 00:00,438.73
11-06-2024 01:00,438.72
11-06-2024 02:00,438.74
11-06-2024 03:00,438.74
11-06-2024 04:00,438.72
11-06-2024 05:15,438.73
11-06-2024 05:45,438.73
11-06-2024 06:30,438.73
11-06-2024 07:15,438.74
11-06-2024 08:15,438.75
11-06-2024 08:45,438.74
11-06-2024 09:15,438.74
11-06-2024 11:30,435.84
11-06-2024 11:45,438.74
11-06-2024 12:15,438.74
11-06-2024 13:00,438.74
11-06-2024 13:30,438.74
11-06-2024 14:45,438.74
11-06-2024 15:30,438.75
11-06-2024 16:00,438.75
11-06-2024 17:00,438.76
11-06-2024 17:45,438.76
11-06-2024 18:15,438.76
11-06-2024 21:45,438.75
11-06-2024 23:00,438.76
12-06-2024 00:00,438.75
12-06-2024 01:00,438.75
12-06-2024 02:00,438.75
12-06-2024 03:15,438.75
12-06-2024 03:45,438.75
12-06-2024 04:00,438.76
12-06-2024 04:30,438.76
12-06-2024 05:45,438.75
12-06-2024 06:30,438.76
12-06-2024 07:00,438.76
12-06-2024 08:00,438.76
12-06-2024 08:45,438.76
12-06-2024 09:30,438.76
12-06-2024 10:00,438.75
12-06-2024 11:30,438.75
12-06-2024 12:00,438.75
12-06-2024 12:45,438.74
12-06-2024 13:30,438.74
12-06-2024 14:30,438.74
12-06-2024 15:45,438.76
12-06-2024 16:00,438.75
12-06-2024 16:45,438.75
12-06-2024 17:30,438.74
12-06-2024 18:00,438.74
12-06-2024 18:45,438.75
12-06-2024 20:00,438.74
12-06-2024 20:15,438.74
12-06-2024 20:30,438.74
12-06-2024 21:15,438.74
12-06-2024 21:45,438.75
12-06-2024 22:15,438.75
12-06-2024 22:45,438.75
12-06-2024 23:00,438.75
12-06-2024 23:45,438.75
13-06-2024 00:30,438.75
13-06-2024 01:00,438.75
13-06-2024 01:45,438.75
13-06-2024 02:30,438.75
13-06-2024 03:30,438.75
13-06-2024 04:00,438.75
13-06-2024 04:30,438.75
13-06-2024 05:15,438.75
13-06-2024 06:00,438.75
13-06-2024 06:15,438.75
13-06-2024 06:30,438.74
13-06-2024 06:45,438.75
13-06-2024 07:45,438.75
13-06-2024 08:15,438.74
13-06-2024 08:45,438.74
13-06-2024 10:30,438.74
13-06-2024 11:45,438.74
13-06-2024 12:15,438.75
13-06-2024 12:45,438.76
13-06-2024 13:45,438.73
13-06-2024 14:15,438.73
13-06-2024 15:00,438.74
13-06-2024 15:30,438.74
13-06-2024 16:00,438.74
13-06-2024 16:30,438.74
13-06-2024 16:45,438.74
13-06-2024 19:00,438.74
13-06-2024 19:30,438.74
13-06-2024 20:00,438.74
13-06-2024 20:15,438.75
13-06-2024 20:30,438.75
13-06-2024 21:00,438.75
13-06-2024 22:15,438.77
13-06-2024 23:00,438.77
13-06-2024 23:45,438.77
14-06-2024 00:45,438.77
14-06-2024 01:15,438.77
14-06-2024 02:00,438.77
14-06-2024 02:15,438.77
14-06-2024 02:45,438.77
14-06-2024 03:15,438.76
14-06-2024 04:30,438.77
14-06-2024 05:00,438.77
14-06-2024 05:45,438.77
14-06-2024 06:30,438.78
14-06-2024 07:15,438.77
14-06-2024 07:30,438.77
14-06-2024 09:30,438.77
14-06-2024 10:15,438.77
14-06-2024 11:15,438.79
14-06-2024 12:00,438.8
14-06-2024 12:30,438.79
14-06-2024 13:15,438.8
14-06-2024 14:15,438.81
14-06-2024 15:00,438.8
14-06-2024 15:15,438.79
14-06-2024 15:30,438.8
14-06-2024 16:00,438.8
14-06-2024 16:30,438.81
14-06-2024 17:15,438.83
14-06-2024 18:00,438.82
14-06-2024 19:00,438.83
14-06-2024 20:30,438.83
14-06-2024 21:00,438.83
14-06-2024 21:30,438.81
14-06-2024 21:45,438.81
14-06-2024 22:45,438.83
15-06-2024 01:15,438.85
15-06-2024 02:00,438.85
15-06-2024 03:15,438.86
15-06-2024 04:45,438.89
15-06-2024 05:45,438.91
15-06-2024 06:15,438.92
15-06-2024 06:45,438.93
15-06-2024 07:45,438.95
15-06-2024 08:30,438.95
15-06-2024 09:15,438.94
15-06-2024 09:45,438.94
15-06-2024 10:15,438.95
15-06-2024 10:30,438.95
15-06-2024 11:15,438.95
15-06-2024 11:45,438.96
15-06-2024 12:30,438.96
15-06-2024 13:45,438.98
15-06-2024 14:45,438.99
15-06-2024 15:15,438.98
15-06-2024 16:45,438.99
15-06-2024 18:15,438.99
15-06-2024 19:00,439
15-06-2024 19:45,439.01
15-06-2024 20:30,439.02
15-06-2024 20:45,439.02
15-06-2024 22:15,439.01
15-06-2024 22:30,438.99
15-06-2024 22:45,438.99
15-06-2024 23:00,439
16-06-2024 00:30,439.01
16-06-2024 01:45,439.01
16-06-2024 02:15,439
16-06-2024 03:00,439
16-06-2024 03:45,439
16-06-2024 04:30,439
16-06-2024 05:15,439
16-06-2024 06:00,439
16-06-2024 06:15,438.99
16-06-2024 06:30,438.99
16-06-2024 08:00,438.98
16-06-2024 09:00,438.99
16-06-2024 09:30,438.97
16-06-2024 10:45,438.98
16-06-2024 11:30,438.98
16-06-2024 12:30,438.99
16-06-2024 13:15,439
16-06-2024 14:00,438.99
16-06-2024 14:30,439
16-06-2024 15:30,439
16-06-2024 16:00,439
16-06-2024 16:15,439
16-06-2024 17:15,439
16-06-2024 17:30,439
16-06-2024 18:00,439
16-06-2024 22:30,436.03
17-06-2024 15:00,438.95
17-06-2024 15:30,438.94
17-06-2024 16:00,438.93
17-06-2024 18:00,438.91
17-06-2024 18:45,438.92
17-06-2024 19:30,438.92
17-06-2024 20:00,438.92
17-06-2024 20:45,438.93
17-06-2024 21:15,438.93
17-06-2024 22:15,438.93
17-06-2024 22:45,438.94
17-06-2024 23:30,438.93
18-06-2024 00:15,438.93
18-06-2024 01:45,438.93
18-06-2024 02:15,438.93
18-06-2024 03:45,438.93
18-06-2024 04:30,438.91
18-06-2024 05:45,438.92
18-06-2024 06:15,438.92
18-06-2024 07:00,438.92
18-06-2024 07:15,438.92
18-06-2024 07:45,438.91
18-06-2024 08:15,438.9
18-06-2024 08:30,438.91
18-06-2024 08:45,438.91
18-06-2024 09:15,438.9
18-06-2024 09:45,438.9
18-06-2024 10:00,438.9
18-06-2024 10:30,438.9
18-06-2024 11:00,438.9
18-06-2024 11:15,438.9
18-06-2024 12:00,438.9
18-06-2024 13:00,438.9
18-06-2024 13:30,438.9
18-06-2024 14:00,438.9
18-06-2024 15:15,438.91
18-06-2024 15:45,438.91
18-06-2024 16:00,438.92
18-06-2024 17:30,438.92
18-06-2024 18:30,438.91
18-06-2024 19:00,438.92
18-06-2024 19:30,438.91
18-06-2024 20:00,438.89
18-06-2024 20:15,438.89
18-06-2024 21:00,438.9
18-06-2024 21:45,438.91
18-06-2024 23:00,438.91
19-06-2024 00:00,438.9
19-06-2024 00:45,438.9
19-06-2024 01:15,438.9
19-06-2024 02:00,438.9
19-06-2024 02:45,438.91
19-06-2024 03:30,438.91
19-06-2024 05:15,438.92
19-06-2024 05:45,438.9
19-06-2024 06:15,438.91
19-06-2024 06:45,438.91
19-06-2024 07:15,438.91
19-06-2024 08:00,438.91
19-06-2024 09:15,438.91
19-06-2024 10:00,438.9
19-06-2024 10:30,438.91
19-06-2024 11:00,438.91
19-06-2024 12:00,438.91
19-06-2024 12:30,438.91
19-06-2024 13:00,438.91
19-06-2024 13:30,438.91
19-06-2024 14:00,438.91
19-06-2024 14:30,438.91
19-06-2024 15:30,438.91
19-06-2024 16:00,435.82
19-06-2024 16:30,438.91
19-06-2024 17:00,438.92
19-06-2024 18:45,438.92
19-06-2024 19:45,438.92
19-06-2024 20:00,438.92
19-06-2024 20:45,438.94
19-06-2024 21:15,438.92
19-06-2024 22:30,438.93
19-06-2024 23:00,438.93
19-06-2024 23:30,438.93
20-06-2024 00:00,438.94
20-06-2024 01:00,438.93
20-06-2024 01:30,438.94
20-06-2024 02:45,438.94
20-06-2024 03:00,438.94
20-06-2024 03:30,438.94
20-06-2024 04:15,438.93
20-06-2024 05:00,438.94
20-06-2024 06:00,438.93
20-06-2024 06:45,438.93
20-06-2024 07:30,438.92
20-06-2024 08:00,438.91
20-06-2024 09:00,438.91
20-06-2024 09:15,438.91
20-06-2024 10:00,438.9
20-06-2024 10:15,438.9
20-06-2024 10:30,438.9
20-06-2024 11:00,438.9
20-06-2024 11:15,438.9
20-06-2024 12:30,438.9
20-06-2024 13:15,438.9
20-06-2024 13:30,438.9
20-06-2024 14:15,438.89
20-06-2024 15:15,438.9
20-06-2024 15:45,438.89
20-06-2024 16:00,438.89
20-06-2024 17:00,438.89
20-06-2024 18:30,438.89
20-06-2024 18:45,438.89
20-06-2024 19:00,438.88
20-06-2024 19:30,438.91
20-06-2024 19:45,438.89
20-06-2024 20:00,438.88
20-06-2024 20:45,438.89
20-06-2024 21:00,438.9
20-06-2024 21:15,438.9
20-06-2024 22:00,438.89
20-06-2024 23:00,438.9
20-06-2024 23:15,438.89
20-06-2024 23:30,438.89
21-06-2024 00:15,438.89
21-06-2024 00:45,438.89
21-06-2024 01:30,438.9
21-06-2024 02:15,438.9
21-06-2024 03:30,438.9
21-06-2024 04:00,438.9
21-06-2024 05:15,438.9
21-06-2024 06:00,438.89
21-06-2024 06:30,438.89
21-06-2024 08:15,438.88
21-06-2024 08:30,438.88
21-06-2024 09:00,438.88
21-06-2024 09:45,438.86
21-06-2024 10:45,438.87
21-06-2024 12:00,438.87
21-06-2024 12:15,438.87
21-06-2024 12:45,438.87
21-06-2024 13:45,438.88
21-06-2024 14:45,438.87
21-06-2024 15:15,438.87
21-06-2024 16:15,438.89
21-06-2024 17:15,438.85
21-06-2024 18:15,438.86
21-06-2024 19:30,438.85
21-06-2024 19:45,438.85
21-06-2024 20:45,438.85
21-06-2024 21:15,438.86
21-06-2024 22:00,438.86
22-06-2024 00:15,438.87
22-06-2024 01:15,438.87
22-06-2024 01:45,438.87
22-06-2024 02:15,438.87
22-06-2024 02:45,438.87
22-06-2024 03:15,438.87
22-06-2024 04:15,438.87
22-06-2024 05:00,438.87
22-06-2024 05:45,438.87
22-06-2024 06:15,438.87
22-06-2024 07:00,438.87
22-06-2024 07:45,438.88
22-06-2024 09:30,438.86
22-06-2024 11:15,438.86
22-06-2024 11:45,438.86
22-06-2024 12:30,438.87
22-06-2024 13:00,438.87
22-06-2024 13:45,438.89
22-06-2024 14:15,438.89
22-06-2024 14:30,438.88
22-06-2024 15:45,438.9
22-06-2024 16:30,438.88
22-06-2024 16:45,438.88
22-06-2024 17:00,438.87
22-06-2024 19:00,438.86
22-06-2024 19:30,438.87
22-06-2024 20:00,438.87
22-06-2024 21:00,438.86
22-06-2024 21:30,438.87
22-06-2024 22:30,438.87
22-06-2024 22:45,438.88
22-06-2024 23:15,438.89
22-06-2024 23:30,438.89
23-06-2024 00:15,438.88
23-06-2024 01:00,438.88
23-06-2024 01:15,438.89
23-06-2024 01:30,438.89
23-06-2024 02:45,438.87
23-06-2024 03:15,438.88
23-06-2024 04:00,438.87
23-06-2024 04:30,438.88
23-06-2024 04:45,438.88
23-06-2024 05:30,438.88
23-06-2024 05:45,438.88
23-06-2024 06:15,438.89
23-06-2024 07:00,438.87
23-06-2024 07:45,438.88
23-06-2024 08:30,438.87
23-06-2024 11:00,438.9
23-06-2024 11:45,438.88
24-06-2024 09:15,438.86
24-06-2024 09:45,438.85
24-06-2024 10:15,438.85
24-06-2024 11:30,438.87
24-06-2024 12:00,438.86
24-06-2024 13:00,438.88
24-06-2024 13:30,438.86
24-06-2024 14:15,438.85
24-06-2024 15:00,438.84
24-06-2024 15:30,438.86
24-06-2024 15:45,438.87
24-06-2024 16:00,438.86
24-06-2024 16:30,438.85
24-06-2024 17:45,438.85
24-06-2024 18:30,438.85
24-06-2024 19:30,438.85
24-06-2024 20:15,438.84
24-06-2024 20:45,438.83
24-06-2024 21:15,438.84
24-06-2024 22:00,438.85
24-06-2024 22:15,438.84
24-06-2024 22:45,438.85
24-06-2024 23:30,438.84
24-06-2024 23:45,438.85
25-06-2024 01:00,438.85
25-06-2024 01:45,438.86
25-06-2024 02:15,438.85
25-06-2024 02:30,438.85
25-06-2024 04:45,438.85
25-06-2024 05:15,438.86
25-06-2024 07:30,438.84
25-06-2024 08:15,438.85
25-06-2024 09:15,438.83
25-06-2024 09:30,438.83
25-06-2024 10:30,438.83
25-06-2024 10:45,438.83
25-06-2024 11:30,438.83
25-06-2024 13:15,438.83
25-06-2024 13:45,438.84
25-06-2024 14:00,438.84
25-06-2024 15:15,438.83
25-06-2024 15:30,438.83
25-06-2024 16:15,438.83
25-06-2024 17:30,438.82
25-06-2024 18:00,438.83
25-06-2024 18:15,438.83
25-06-2024 19:00,438.83
25-06-2024 19:45,438.83
25-06-2024 20:45,438.83
25-06-2024 21:45,438.84
25-06-2024 22:15,438.84
26-06-2024 00:00,438.85
26-06-2024 01:15,438.84
26-06-2024 01:45,438.83
26-06-2024 02:30,438.84
26-06-2024 03:00,438.83
26-06-2024 03:45,438.83
26-06-2024 04:30,438.83
26-06-2024 05:15,438.84
26-06-2024 06:15,438.82
26-06-2024 06:45,438.82
26-06-2024 07:15,438.82
26-06-2024 07:30,438.83
26-06-2024 08:00,438.84
26-06-2024 09:45,438.83
26-06-2024 10:00,438.83
26-06-2024 10:30,438.83
26-06-2024 11:00,438.82
26-06-2024 11:45,438.83
26-06-2024 12:45,438.82
26-06-2024 13:30,438.82
26-06-2024 13:45,438.83
26-06-2024 14:15,438.82
26-06-2024 14:30,438.82
26-06-2024 16:00,438.83
26-06-2024 16:45,438.82
27-06-2024 10:30,438.85
27-06-2024 11:00,438.84
27-06-2024 11:30,438.84
27-06-2024 12:30,438.84
27-06-2024 13:30,438.84
27-06-2024 13:45,438.83
27-06-2024 14:15,438.83
27-06-2024 15:00,438.83
27-06-2024 15:30,438.83
27-06-2024 16:00,438.83
27-06-2024 16:30,438.83
27-06-2024 17:00,438.83
27-06-2024 17:45,438.83
27-06-2024 18:00,438.83
27-06-2024 18:15,438.83
27-06-2024 19:00,438.83
27-06-2024 19:30,438.83
27-06-2024 20:15,438.83
27-06-2024 20:30,436.03
27-06-2024 21:30,438.83
27-06-2024 21:45,438.83
27-06-2024 22:15,438.83
27-06-2024 22:30,438.84
27-06-2024 23:00,438.83
28-06-2024 01:30,438.84
28-06-2024 02:15,438.84
28-06-2024 03:00,438.85
28-06-2024 03:45,438.86
28-06-2024 04:00,438.86
28-06-2024 04:45,438.85
28-06-2024 05:15,438.85
28-06-2024 06:30,438.83
28-06-2024 08:00,438.83
28-06-2024 10:30,438.84
28-06-2024 12:00,438.82
28-06-2024 13:00,438.82
28-06-2024 13:30,438.82
28-06-2024 14:15,438.83
28-06-2024 16:30,438.82
28-06-2024 17:45,438.81
28-06-2024 18:45,438.82
28-06-2024 19:15,438.82
28-06-2024 20:00,438.82
28-06-2024 20:30,438.82
28-06-2024 21:15,438.82
28-06-2024 22:00,438.81
28-06-2024 22:45,438.82
28-06-2024 23:30,438.82
29-06-2024 00:00,438.84
29-06-2024 01:15,438.84
29-06-2024 01:30,438.84
29-06-2024 02:00,438.84
29-06-2024 02:45,438.84
29-06-2024 03:30,438.83
29-06-2024 04:00,438.83
29-06-2024 04:30,438.83
29-06-2024 05:15,438.83
29-06-2024 05:30,438.82
29-06-2024 06:00,438.82
29-06-2024 06:30,438.82
29-06-2024 07:45,438.82
29-06-2024 08:45,438.8
29-06-2024 09:45,438.8
29-06-2024 12:00,438.82
29-06-2024 12:30,438.82
29-06-2024 13:00,438.82
29-06-2024 13:45,438.82
29-06-2024 14:45,438.82
29-06-2024 16:15,438.81
29-06-2024 17:00,438.82
29-06-2024 17:30,438.81
29-06-2024 18:15,438.81
29-06-2024 19:45,438.81
29-06-2024 20:00,438.8
29-06-2024 21:00,438.81
29-06-2024 21:30,438.81
29-06-2024 22:15,438.81
30-06-2024 00:00,438.82
30-06-2024 01:15,438.82
30-06-2024 01:30,438.82
30-06-2024 02:00,438.81
30-06-2024 03:00,438.81
30-06-2024 03:45,438.82
30-06-2024 04:30,438.82
30-06-2024 05:15,438.82
30-06-2024 06:30,438.81
30-06-2024 07:30,438.8
30-06-2024 08:00,438.8
30-06-2024 09:00,438.8
30-06-2024 09:30,438.79
30-06-2024 10:00,438.79
30-06-2024 11:30,438.79
30-06-2024 11:45,438.79
30-06-2024 12:30,438.78
30-06-2024 13:45,438.79
30-06-2024 14:15,438.81
30-06-2024 15:00,438.79
30-06-2024 15:15,438.79
30-06-2024 15:45,438.79
30-06-2024 16:15,438.79
30-06-2024 16:45,438.79
30-06-2024 17:15,438.79
30-06-2024 18:00,438.78
30-06-2024 18:45,438.79
30-06-2024 19:15,438.79
30-06-2024 19:45,438.79
30-06-2024 21:00,438.79
30-06-2024 21:30,438.79
30-06-2024 22:00,438.8
30-06-2024 22:30,438.81
30-06-2024 23:15,438.81
01-07-2024 01:00,438.8
01-07-2024 01:30,438.79
